pH,Dissolved_Oxygen_mgL,Turbidity_NTU,Total_Dissolved_Solids_mgL,Nitrate_mgL,Phosphate_mgL,Temperature_C,Heavy_Metals_ppm,Safe_for_Humans,Safe_for_Animals,Safe_for_Plants
7.52,3.68,55.24,350.89,29.39,1.09,13.8,0.225,Unsafe,Unsafe,Safe
5.63,5.32,59.52,874.78,42.36,1.08,28.0,0.345,Unsafe,Unsafe,Unsafe
7.13,13.66,87.19,1308.2,22.06,4.28,27.9,0.035,Unsafe,Safe,Safe
7.4,5.98,57.7,676.57,0.9,0.99,13.8,0.43,Unsafe,Safe,Safe
6.5,7.78,34.55,1451.56,3.73,6.19,7.4,0.389,Unsafe,Safe,Unsafe
7.57,4.35,80.3,705.71,25.52,1.44,5.3,0.123,Unsafe,Safe,Safe
5.61,9.33,54.03,257.04,48.47,5.22,17.8,0.384,Unsafe,Unsafe,Unsafe
5.63,5.37,7.93,614.68,34.66,0.07,17.3,0.006,Unsafe,Unsafe,Unsafe
8.38,4.48,56.59,1429.97,3.55,3.17,34.7,0.109,Unsafe,Safe,Safe
6.76,8.2,90.8,513.6,9.47,6.77,19.1,0.033,Unsafe,Safe,Unsafe
5.94,2.07,39.63,1308.74,38.57,4.84,12.7,0.39,Unsafe,Unsafe,Unsafe
7.33,2.09,29.63,1327.81,42.07,9.78,31.7,0.378,Unsafe,Unsafe,Unsafe
8.19,4.63,14.35,557.77,30.88,8.74,19.7,0.407,Unsafe,Safe,Unsafe
6.26,2.44,15.14,170.72,32.22,3.59,23.0,0.002,Unsafe,Unsafe,Unsafe
7.68,3.3,43.28,1100.61,1.42,0.45,7.9,0.251,Unsafe,Unsafe,Safe
5.8,6.07,59.57,501.69,41.43,8.46,16.5,0.352,Unsafe,Unsafe,Unsafe
5.68,11.63,8.06,1185.24,39.41,9.11,33.3,0.078,Unsafe,Unsafe,Unsafe
7.36,8.86,93.96,691.85,12.95,8.21,22.7,0.325,Unsafe,Safe,Unsafe
7.39,8.15,75.51,753.64,35.43,1.28,15.3,0.042,Unsafe,Safe,Unsafe
7.73,5.52,58.66,1177.97,10.74,9.98,23.8,0.091,Unsafe,Safe,Unsafe
8.04,13.18,82.84,604.43,2.02,2.59,32.3,0.238,Unsafe,Safe,Safe
8.92,6.76,8.02,692.53,10.06,7.24,13.2,0.327,Unsafe,Safe,Unsafe
7.31,3.05,47.68,595.48,8.93,9.08,20.2,0.073,Unsafe,Unsafe,Unsafe
6.63,9.4,63.01,582.64,16.89,2.36,33.8,0.093,Unsafe,Safe,Safe
8.28,3.37,82.87,812.62,20.92,9.08,10.2,0.102,Unsafe,Unsafe,Unsafe
6.45,6.14,78.35,1222.76,25.43,3.09,26.6,0.119,Unsafe,Safe,Safe
7.04,8.09,27.71,574.56,23.84,9.76,23.4,0.113,Unsafe,Safe,Unsafe
5.77,12.49,94.09,810.17,13.53,2.81,25.4,0.198,Unsafe,Unsafe,Safe
5.59,7.92,12.43,1022.55,1.46,9.53,15.5,0.327,Unsafe,Unsafe,Unsafe
8.87,10.43,87.51,440.69,30.26,0.54,14.4,0.219,Unsafe,Safe,Unsafe
8.43,13.91,97.09,452.41,19.79,7.09,25.5,0.388,Unsafe,Safe,Unsafe
7.94,3.58,17.72,1403.45,14.93,5.32,11.5,0.36,Unsafe,Unsafe,Unsafe
6.93,5.3,72.21,1099.13,43.35,4.78,17.6,0.063,Unsafe,Safe,Unsafe
6.11,6.73,4.03,886.92,37.34,2.23,10.6,0.024,Unsafe,Safe,Unsafe
6.05,7.06,40.54,989.19,42.89,7.06,5.2,0.439,Unsafe,Safe,Unsafe
6.38,6.93,51.63,92.48,24.75,1.91,34.1,0.04,Unsafe,Safe,Safe
7.42,12.89,58.06,946.25,6.55,5.53,18.0,0.074,Unsafe,Safe,Unsafe
8.0,10.57,93.59,788.79,34.81,2.53,34.1,0.011,Unsafe,Safe,Unsafe
7.81,9.29,67.23,841.34,10.3,9.56,9.2,0.314,Unsafe,Safe,Unsafe
6.48,5.71,48.13,571.16,22.06,0.29,22.6,0.291,Unsafe,Safe,Safe
8.84,11.89,80.97,168.14,3.25,2.0,11.0,0.493,Unsafe,Safe,Unsafe
8.08,13.46,95.05,330.34,41.27,2.42,28.7,0.443,Unsafe,Safe,Unsafe
7.44,11.85,2.21,1428.58,6.3,4.14,28.5,0.205,Unsafe,Safe,Safe
7.64,2.02,98.25,642.61,45.15,2.33,8.4,0.186,Unsafe,Unsafe,Unsafe
6.97,9.64,8.61,726.69,43.21,4.91,32.4,0.148,Unsafe,Safe,Unsafe
6.37,2.61,81.44,126.43,23.23,8.72,10.8,0.076,Unsafe,Unsafe,Unsafe
6.75,5.09,28.03,104.47,37.22,7.12,23.4,0.069,Unsafe,Safe,Unsafe
8.15,2.71,13.22,1089.91,30.97,5.8,34.6,0.066,Unsafe,Unsafe,Unsafe
5.55,9.25,43.99,830.24,40.15,0.89,31.5,0.057,Unsafe,Unsafe,Unsafe
5.91,10.24,64.4,787.62,21.59,6.94,33.7,0.12,Unsafe,Unsafe,Unsafe
5.66,3.37,38.1,402.53,39.29,1.66,15.3,0.153,Unsafe,Unsafe,Unsafe
5.64,6.61,5.46,1129.89,23.12,7.86,8.2,0.481,Unsafe,Unsafe,Unsafe
8.49,7.47,59.95,293.94,47.05,2.5,10.7,0.289,Unsafe,Safe,Unsafe
7.96,6.43,90.24,325.41,24.32,4.17,20.0,0.494,Unsafe,Safe,Safe
7.16,3.45,38.32,718.03,23.13,3.5,28.8,0.186,Unsafe,Unsafe,Safe
5.84,7.03,21.63,465.11,39.25,8.59,9.5,0.229,Unsafe,Unsafe,Unsafe
7.22,11.01,44.26,408.82,41.08,1.27,24.8,0.162,Unsafe,Safe,Unsafe
7.16,2.85,4.84,985.59,27.72,5.66,14.7,0.091,Unsafe,Unsafe,Unsafe
6.11,2.96,82.05,993.91,8.99,1.42,15.2,0.072,Unsafe,Unsafe,Safe
7.02,6.26,82.63,1245.55,23.39,7.05,24.9,0.473,Unsafe,Safe,Unsafe
6.89,13.3,58.8,655.68,48.4,9.05,19.0,0.493,Unsafe,Safe,Unsafe
7.66,10.02,35.31,155.97,37.65,4.35,29.4,0.022,Unsafe,Safe,Unsafe
7.72,10.14,79.98,446.82,40.56,4.88,9.7,0.075,Unsafe,Safe,Unsafe
5.66,6.34,55.47,1471.01,1.64,9.27,28.7,0.212,Unsafe,Unsafe,Unsafe
6.81,9.12,82.59,914.57,23.39,5.21,6.9,0.093,Unsafe,Safe,Unsafe
7.69,2.12,63.15,1079.12,32.33,4.88,10.8,0.182,Unsafe,Unsafe,Unsafe
7.26,9.63,78.44,60.67,41.5,5.78,24.7,0.065,Unsafe,Safe,Unsafe
8.5,12.96,59.86,801.4,2.46,6.89,30.6,0.228,Unsafe,Safe,Unsafe
7.81,9.35,41.41,104.42,42.62,1.07,12.6,0.136,Unsafe,Safe,Unsafe
6.07,12.48,95.79,875.38,27.42,8.21,14.8,0.176,Unsafe,Safe,Unsafe
5.75,10.69,54.11,1385.12,9.87,4.36,21.1,0.047,Unsafe,Unsafe,Safe
7.75,3.45,60.51,1454.21,15.86,0.72,11.3,0.214,Unsafe,Unsafe,Safe
5.59,12.83,22.05,833.8,14.1,7.86,29.3,0.492,Unsafe,Unsafe,Unsafe
7.55,2.8,62.57,714.4,26.54,3.77,28.2,0.164,Unsafe,Unsafe,Safe
8.79,8.41,57.16,1420.27,2.58,1.0,9.4,0.438,Unsafe,Safe,Unsafe
7.51,3.71,18.48,1026.73,7.93,6.34,18.9,0.422,Unsafe,Unsafe,Unsafe
6.86,2.14,5.96,144.1,40.63,8.8,28.2,0.476,Unsafe,Unsafe,Unsafe
7.75,7.06,60.44,725.3,6.63,8.88,15.1,0.395,Unsafe,Safe,Unsafe
7.1,5.54,76.37,398.36,11.67,9.58,24.0,0.33,Unsafe,Safe,Unsafe
7.41,7.83,52.34,731.22,22.67,8.68,6.5,0.428,Unsafe,Safe,Unsafe
8.8,8.93,22.68,710.43,25.86,0.02,23.3,0.038,Unsafe,Safe,Unsafe
6.85,2.52,66.65,894.11,38.18,3.8,9.6,0.231,Unsafe,Unsafe,Unsafe
8.86,3.48,8.01,567.32,22.37,8.19,29.9,0.495,Unsafe,Unsafe,Unsafe
8.67,8.7,44.18,288.19,39.49,3.66,15.7,0.385,Unsafe,Safe,Unsafe
6.19,6.12,16.34,780.39,30.92,6.02,13.4,0.481,Unsafe,Safe,Unsafe
5.74,10.75,18.45,1253.79,5.65,6.06,30.2,0.39,Unsafe,Unsafe,Unsafe
5.85,9.83,20.23,1012.82,7.82,3.65,6.5,0.437,Unsafe,Unsafe,Safe
5.56,12.15,38.67,540.63,21.85,9.04,16.9,0.353,Unsafe,Unsafe,Unsafe
5.83,10.31,5.12,1406.51,19.84,5.03,16.1,0.38,Unsafe,Unsafe,Unsafe
7.89,7.16,39.78,1372.7,37.18,4.65,13.5,0.262,Unsafe,Safe,Unsafe
5.75,10.08,51.17,353.56,29.04,9.98,32.4,0.462,Unsafe,Unsafe,Unsafe
6.62,5.3,48.33,107.16,19.41,4.94,27.5,0.413,Unsafe,Safe,Safe
8.46,5.68,38.28,1124.9,8.54,1.78,6.9,0.422,Unsafe,Safe,Safe
5.58,11.47,83.91,1250.03,11.34,5.13,26.4,0.337,Unsafe,Unsafe,Unsafe
8.35,7.36,14.53,1453.4,28.78,8.14,20.8,0.152,Unsafe,Safe,Unsafe
6.49,11.58,50.57,1340.26,21.17,7.77,32.0,0.018,Unsafe,Safe,Unsafe
5.91,11.87,6.2,920.78,25.75,7.89,14.4,0.468,Unsafe,Unsafe,Unsafe
7.94,12.29,7.12,818.58,8.53,7.08,22.2,0.293,Unsafe,Safe,Unsafe
7.7,13.0,57.39,90.37,33.15,2.54,20.0,0.149,Unsafe,Safe,Unsafe
8.57,7.17,56.6,407.65,42.63,8.62,19.7,0.075,Unsafe,Safe,Unsafe
8.07,5.83,87.8,716.44,12.9,8.93,18.7,0.415,Unsafe,Safe,Unsafe
8.31,8.99,55.79,961.33,24.58,1.94,11.2,0.418,Unsafe,Safe,Safe
6.49,6.45,95.98,858.02,48.78,1.3,27.7,0.407,Unsafe,Safe,Unsafe
6.12,9.21,4.87,1126.82,16.66,9.76,18.5,0.323,Unsafe,Safe,Unsafe
8.13,10.47,9.8,455.66,29.75,8.68,33.8,0.183,Unsafe,Safe,Unsafe
8.32,10.26,4.41,869.18,4.51,8.93,12.8,0.152,Unsafe,Safe,Unsafe
8.97,6.49,18.53,177.81,30.3,8.86,25.5,0.004,Unsafe,Safe,Unsafe
6.94,4.0,54.13,649.82,4.48,5.42,33.2,0.417,Unsafe,Safe,Unsafe
6.8,7.17,64.56,1137.73,47.96,6.46,24.9,0.044,Unsafe,Safe,Unsafe
8.22,3.71,4.56,1055.43,35.78,5.45,31.1,0.315,Unsafe,Unsafe,Unsafe
6.69,12.68,94.6,1486.43,39.41,0.51,29.8,0.252,Unsafe,Safe,Unsafe
8.76,6.15,84.22,452.94,35.21,7.46,15.8,0.263,Unsafe,Safe,Unsafe
8.5,3.85,29.66,772.37,29.49,5.05,23.0,0.463,Unsafe,Unsafe,Unsafe
7.0,2.31,7.72,527.82,22.5,6.48,9.7,0.016,Unsafe,Unsafe,Unsafe
8.13,9.75,16.99,688.87,42.92,5.03,21.1,0.387,Unsafe,Safe,Unsafe
8.14,9.64,12.69,1292.58,47.84,4.92,11.9,0.026,Unsafe,Safe,Unsafe
5.86,6.09,12.33,1042.1,24.95,1.72,27.3,0.019,Unsafe,Unsafe,Safe
8.66,2.86,51.86,1329.54,46.58,2.79,20.8,0.215,Unsafe,Unsafe,Unsafe
7.27,6.92,24.58,345.09,29.17,1.59,17.3,0.032,Unsafe,Safe,Safe
8.39,5.73,35.81,1316.37,26.92,1.96,13.1,0.395,Unsafe,Safe,Safe
6.62,10.13,98.95,136.66,22.72,9.73,35.0,0.265,Unsafe,Safe,Unsafe
8.63,9.27,68.43,1338.47,10.46,1.53,7.2,0.015,Unsafe,Safe,Unsafe
6.86,6.38,94.9,527.16,0.19,2.69,6.3,0.02,Unsafe,Safe,Safe
5.54,4.61,14.26,506.15,12.08,5.91,11.5,0.306,Unsafe,Unsafe,Unsafe
8.67,13.86,38.21,792.53,25.49,6.1,34.1,0.403,Unsafe,Safe,Unsafe
5.82,7.45,55.47,1414.0,19.0,1.54,34.4,0.219,Unsafe,Unsafe,Safe
6.62,10.26,7.68,119.28,22.42,7.94,24.6,0.277,Unsafe,Safe,Unsafe
8.83,3.69,0.42,560.73,49.03,7.85,31.4,0.4,Unsafe,Unsafe,Unsafe
8.83,7.83,67.04,1292.03,17.51,2.37,11.4,0.305,Unsafe,Safe,Unsafe
7.51,2.33,64.18,624.28,22.61,2.89,34.2,0.112,Unsafe,Unsafe,Safe
7.71,8.07,41.08,338.78,6.68,9.38,9.3,0.307,Unsafe,Safe,Unsafe
7.07,13.57,48.96,665.95,2.4,8.26,8.0,0.314,Unsafe,Safe,Unsafe
6.53,6.61,41.54,609.05,38.77,6.98,8.4,0.367,Unsafe,Safe,Unsafe
6.65,2.47,2.4,1377.35,28.53,0.82,22.2,0.31,Unsafe,Unsafe,Safe
7.85,2.37,33.54,1154.8,38.04,4.18,28.4,0.485,Unsafe,Unsafe,Unsafe
8.13,6.66,17.71,782.42,7.49,5.59,16.0,0.099,Unsafe,Safe,Unsafe
8.27,3.92,9.84,1483.14,28.59,1.87,34.3,0.476,Unsafe,Unsafe,Safe
8.26,2.28,95.67,724.65,12.68,4.48,18.0,0.269,Unsafe,Unsafe,Safe
5.82,11.07,59.94,134.44,11.4,6.01,9.5,0.336,Unsafe,Unsafe,Unsafe
7.23,7.5,72.87,430.3,0.58,3.27,19.0,0.05,Unsafe,Safe,Safe
5.7,5.47,31.54,682.3,6.52,7.81,25.4,0.19,Unsafe,Unsafe,Unsafe
7.42,12.8,39.31,277.51,15.46,8.4,30.0,0.385,Unsafe,Safe,Unsafe
7.05,3.39,23.69,1423.97,5.84,3.24,18.8,0.353,Unsafe,Unsafe,Safe
8.61,13.47,9.7,1161.93,49.29,8.39,22.8,0.02,Unsafe,Safe,Unsafe
6.73,5.77,17.9,439.02,15.43,1.04,13.0,0.273,Unsafe,Safe,Safe
5.91,12.66,79.75,906.67,6.52,8.38,24.4,0.044,Unsafe,Unsafe,Unsafe
6.0,9.24,67.75,1096.1,9.95,1.53,34.6,0.498,Unsafe,Safe,Safe
8.17,11.92,54.69,1414.85,29.39,0.83,6.5,0.449,Unsafe,Safe,Safe
7.66,13.81,47.51,1328.37,3.2,6.42,31.6,0.011,Unsafe,Safe,Unsafe
5.85,5.46,92.24,797.03,43.12,4.72,21.9,0.429,Unsafe,Unsafe,Unsafe
5.79,13.53,7.27,1173.25,48.07,9.08,12.6,0.46,Unsafe,Unsafe,Unsafe
7.95,6.67,28.06,865.11,12.34,3.63,33.6,0.177,Unsafe,Safe,Safe
5.75,6.63,34.99,851.42,22.5,2.87,19.5,0.36,Unsafe,Unsafe,Safe
8.38,6.08,78.24,216.38,1.11,5.01,15.0,0.221,Unsafe,Safe,Unsafe
7.97,8.5,99.25,232.9,32.04,4.56,10.4,0.328,Unsafe,Safe,Unsafe
5.78,3.85,24.07,817.82,20.7,3.44,12.3,0.17,Unsafe,Unsafe,Safe
5.8,8.64,87.43,439.85,13.5,6.94,30.0,0.161,Unsafe,Unsafe,Unsafe
8.95,8.5,83.06,80.5,10.34,7.6,23.4,0.212,Unsafe,Safe,Unsafe
6.81,11.14,22.47,1098.12,32.7,8.53,32.4,0.073,Unsafe,Safe,Unsafe
6.8,12.0,39.93,97.11,20.81,9.73,12.0,0.416,Unsafe,Safe,Unsafe
8.34,7.29,40.97,913.15,8.98,2.67,8.6,0.174,Unsafe,Safe,Safe
8.82,5.63,97.82,831.83,34.46,7.16,5.2,0.2,Unsafe,Safe,Unsafe
8.95,5.11,18.09,1454.78,28.25,3.94,20.2,0.447,Unsafe,Safe,Unsafe
8.14,4.34,79.92,752.11,42.93,6.77,34.9,0.248,Unsafe,Safe,Unsafe
6.82,2.69,33.42,142.22,5.87,4.76,25.8,0.272,Unsafe,Unsafe,Safe
5.79,6.11,73.09,849.95,39.28,9.94,14.3,0.478,Unsafe,Unsafe,Unsafe
8.22,5.24,42.0,1269.59,33.68,7.29,31.3,0.443,Unsafe,Safe,Unsafe
7.45,13.6,57.84,1495.43,5.75,9.52,28.5,0.085,Unsafe,Safe,Unsafe
6.98,8.69,83.26,674.0,34.74,8.35,5.5,0.237,Unsafe,Safe,Unsafe
8.67,6.17,80.42,514.43,22.08,9.03,29.5,0.486,Unsafe,Safe,Unsafe
5.89,8.97,86.64,1364.65,47.25,8.14,14.0,0.186,Unsafe,Unsafe,Unsafe
7.22,3.67,5.96,327.3,7.08,4.59,9.5,0.186,Unsafe,Unsafe,Safe
5.54,7.33,69.21,942.37,32.14,2.52,11.8,0.098,Unsafe,Unsafe,Unsafe
7.14,9.51,14.0,638.29,19.1,3.7,19.1,0.057,Unsafe,Safe,Safe
5.7,7.87,41.58,109.57,47.84,0.2,17.7,0.37,Unsafe,Unsafe,Unsafe
5.92,6.82,54.86,553.57,16.5,5.24,13.7,0.385,Unsafe,Unsafe,Unsafe
5.91,13.93,40.27,434.58,48.11,5.05,10.2,0.485,Unsafe,Unsafe,Unsafe
7.77,12.56,51.96,1044.83,45.07,5.25,27.9,0.387,Unsafe,Safe,Unsafe
8.11,9.48,99.65,1425.75,13.52,9.74,34.7,0.122,Unsafe,Safe,Unsafe
7.54,8.83,13.52,438.67,40.18,9.11,28.3,0.02,Unsafe,Safe,Unsafe
8.87,9.45,67.55,1226.63,49.78,1.62,13.9,0.493,Unsafe,Safe,Unsafe
6.81,4.42,39.6,130.27,12.63,3.69,12.3,0.17,Unsafe,Safe,Safe
6.5,6.74,13.3,830.28,21.84,4.24,11.5,0.156,Unsafe,Safe,Safe
8.54,2.47,15.87,152.3,26.01,3.61,9.1,0.453,Unsafe,Unsafe,Unsafe
6.28,7.71,94.93,1404.35,14.75,7.98,21.5,0.293,Unsafe,Safe,Unsafe
8.87,8.52,87.96,1161.21,0.76,5.24,23.2,0.107,Unsafe,Safe,Unsafe
5.54,4.73,90.7,1004.03,11.01,5.72,26.2,0.445,Unsafe,Unsafe,Unsafe
8.89,13.57,99.15,1244.65,14.1,8.53,25.4,0.497,Unsafe,Safe,Unsafe
5.65,12.91,20.83,988.9,22.18,8.06,13.8,0.043,Unsafe,Unsafe,Unsafe
8.62,10.67,35.54,1454.97,8.56,1.32,14.9,0.431,Unsafe,Safe,Unsafe
7.35,8.4,66.92,1085.24,43.66,7.14,25.4,0.195,Unsafe,Safe,Unsafe
8.98,12.44,48.38,1390.75,35.25,4.35,15.5,0.262,Unsafe,Safe,Unsafe
5.76,3.57,41.84,799.84,4.26,2.95,11.4,0.457,Unsafe,Unsafe,Safe
7.44,11.49,35.78,219.74,32.5,0.5,16.2,0.487,Unsafe,Safe,Unsafe
8.89,3.5,59.38,815.86,32.68,4.87,13.2,0.131,Unsafe,Unsafe,Unsafe
7.33,11.53,57.56,233.97,47.81,3.55,7.6,0.106,Unsafe,Safe,Unsafe
7.7,5.31,16.15,909.12,0.15,2.52,29.9,0.04,Unsafe,Safe,Safe
7.94,12.53,47.17,749.61,12.4,6.95,30.6,0.281,Unsafe,Safe,Unsafe
7.09,13.33,55.35,952.73,46.39,7.69,11.6,0.007,Safe,Safe,Unsafe
7.7,3.79,57.03,64.57,46.61,2.45,6.9,0.206,Unsafe,Unsafe,Unsafe
7.55,7.55,21.01,332.52,36.03,0.49,27.2,0.037,Unsafe,Safe,Unsafe
8.65,13.77,74.23,762.43,38.29,8.49,11.3,0.203,Unsafe,Safe,Unsafe
5.66,7.8,2.52,1428.23,4.57,0.1,16.8,0.02,Unsafe,Unsafe,Safe
6.48,12.36,35.48,606.23,25.69,9.37,6.9,0.418,Unsafe,Safe,Unsafe
8.83,9.06,78.02,665.34,11.58,6.28,11.8,0.105,Unsafe,Safe,Unsafe
8.62,6.5,56.39,1086.31,9.06,3.22,28.8,0.164,Unsafe,Safe,Unsafe
7.09,5.43,26.12,925.5,40.52,2.46,29.1,0.435,Unsafe,Safe,Unsafe
7.67,4.44,69.5,483.44,6.75,0.09,11.2,0.373,Unsafe,Safe,Safe
6.47,11.14,56.74,645.68,23.43,2.35,15.1,0.11,Unsafe,Safe,Safe
6.16,6.64,79.62,365.66,46.93,1.38,9.0,0.036,Unsafe,Safe,Unsafe
7.12,8.14,73.5,1450.73,9.29,6.12,7.2,0.358,Unsafe,Safe,Unsafe
6.74,7.91,61.01,239.42,48.9,1.67,34.8,0.195,Unsafe,Safe,Unsafe
7.54,8.93,48.82,589.16,49.71,5.29,24.7,0.383,Unsafe,Safe,Unsafe
5.77,12.39,13.32,87.47,27.78,5.9,21.3,0.223,Unsafe,Unsafe,Unsafe
8.91,13.77,26.13,371.58,8.51,2.98,28.0,0.173,Unsafe,Safe,Unsafe
8.95,6.89,41.91,1181.68,15.81,0.35,30.2,0.226,Unsafe,Safe,Unsafe
7.94,11.93,59.93,341.7,21.22,0.37,29.2,0.374,Unsafe,Safe,Safe
7.38,11.17,51.37,166.09,15.47,0.26,5.5,0.451,Unsafe,Safe,Safe
6.58,8.88,28.82,737.96,14.03,7.39,10.6,0.025,Unsafe,Safe,Unsafe
8.35,13.47,0.65,64.46,48.61,3.18,24.6,0.262,Unsafe,Safe,Unsafe
7.9,4.41,49.62,172.91,7.67,7.96,16.3,0.016,Unsafe,Safe,Unsafe
6.07,3.31,28.56,1221.06,36.67,4.32,34.5,0.234,Unsafe,Unsafe,Unsafe
8.69,12.25,73.46,1168.64,0.02,4.53,25.0,0.443,Unsafe,Safe,Unsafe
8.38,7.27,2.39,1376.95,29.81,5.13,33.7,0.181,Unsafe,Safe,Unsafe
8.82,12.16,58.48,1289.05,45.8,7.13,11.0,0.466,Unsafe,Safe,Unsafe
8.04,12.72,94.15,1040.6,14.4,2.74,30.9,0.315,Unsafe,Safe,Safe
7.65,2.75,17.44,125.88,9.28,1.22,14.6,0.467,Unsafe,Unsafe,Safe
6.96,12.6,47.16,1185.13,32.58,5.56,34.7,0.379,Unsafe,Safe,Unsafe
8.76,7.38,9.14,1275.99,35.63,3.27,9.7,0.052,Unsafe,Safe,Unsafe
8.53,8.13,62.57,1208.67,34.4,4.42,20.5,0.116,Unsafe,Safe,Unsafe
5.66,9.52,55.05,787.29,15.97,6.47,28.8,0.197,Unsafe,Unsafe,Unsafe
5.59,13.12,40.74,387.71,12.61,4.94,18.0,0.085,Unsafe,Unsafe,Safe
6.82,2.23,52.14,1275.73,47.8,6.2,19.0,0.247,Unsafe,Unsafe,Unsafe
8.34,7.72,89.66,1104.39,46.16,5.44,34.6,0.236,Unsafe,Safe,Unsafe
8.96,10.25,19.63,1472.1,22.87,7.4,17.8,0.478,Unsafe,Safe,Unsafe
6.03,10.67,2.26,275.75,42.31,7.06,23.1,0.217,Unsafe,Safe,Unsafe
7.58,10.31,86.17,377.21,22.62,5.34,6.6,0.393,Unsafe,Safe,Unsafe
6.83,3.61,57.71,357.11,21.22,6.79,30.3,0.471,Unsafe,Unsafe,Unsafe
8.89,5.59,89.07,1199.18,7.84,8.74,24.4,0.438,Unsafe,Safe,Unsafe
8.45,6.3,59.69,321.02,21.32,4.32,17.1,0.104,Unsafe,Safe,Safe
8.43,11.65,81.02,146.66,26.87,4.13,5.5,0.248,Unsafe,Safe,Safe
7.14,5.35,42.97,1497.91,1.13,7.64,22.8,0.174,Unsafe,Safe,Unsafe
6.95,4.53,74.99,85.98,22.21,5.83,5.4,0.2,Unsafe,Safe,Unsafe
6.46,13.49,91.3,1261.1,39.07,0.71,5.0,0.18,Unsafe,Safe,Unsafe
5.7,2.11,57.21,579.78,34.0,8.92,23.5,0.413,Unsafe,Unsafe,Unsafe
8.53,13.97,18.08,1270.34,31.76,0.31,10.7,0.226,Unsafe,Safe,Unsafe
8.35,10.12,26.88,854.2,45.48,7.48,10.8,0.262,Unsafe,Safe,Unsafe
9.0,11.94,19.86,1357.37,0.9,7.59,24.6,0.491,Unsafe,Safe,Unsafe
8.99,5.54,24.69,1392.98,27.85,9.53,6.6,0.03,Unsafe,Safe,Unsafe
7.44,2.17,30.64,63.19,39.37,0.54,14.4,0.244,Unsafe,Unsafe,Unsafe
8.19,10.85,55.51,159.35,27.07,5.97,9.5,0.387,Unsafe,Safe,Unsafe
8.81,12.01,58.8,413.02,16.19,4.28,22.4,0.076,Unsafe,Safe,Unsafe
8.47,10.89,42.65,1020.51,6.81,3.31,24.9,0.306,Unsafe,Safe,Safe
6.37,3.71,61.54,1337.99,44.38,0.9,26.6,0.12,Unsafe,Unsafe,Unsafe
7.08,11.04,8.16,716.92,23.54,5.63,12.7,0.434,Unsafe,Safe,Unsafe
5.95,11.23,8.78,930.11,43.91,4.79,7.7,0.164,Unsafe,Unsafe,Unsafe
8.84,9.9,17.18,323.32,29.29,1.05,7.4,0.165,Unsafe,Safe,Unsafe
7.62,11.19,51.81,1217.2,33.71,6.12,17.8,0.299,Unsafe,Safe,Unsafe
6.3,12.15,21.4,1452.63,40.21,7.38,33.4,0.092,Unsafe,Safe,Unsafe
7.85,9.36,28.33,439.47,32.96,7.67,11.5,0.142,Unsafe,Safe,Unsafe
7.66,3.06,40.03,767.5,19.9,9.05,12.7,0.208,Unsafe,Unsafe,Unsafe
6.75,7.85,81.19,174.87,25.68,4.09,8.0,0.177,Unsafe,Safe,Safe
5.9,2.93,1.39,860.75,40.15,9.53,23.2,0.262,Unsafe,Unsafe,Unsafe
7.85,6.89,64.94,779.04,18.68,8.65,25.4,0.3,Unsafe,Safe,Unsafe
7.32,6.89,66.89,259.43,19.41,2.97,24.3,0.283,Unsafe,Safe,Safe
8.2,2.79,79.87,691.0,4.78,1.59,30.8,0.327,Unsafe,Unsafe,Safe
7.32,6.19,93.28,534.45,45.73,4.35,19.6,0.154,Unsafe,Safe,Unsafe
8.48,3.33,2.01,806.65,4.55,4.02,9.0,0.063,Unsafe,Unsafe,Safe
7.43,11.7,15.38,899.2,32.41,5.76,13.7,0.38,Unsafe,Safe,Unsafe
7.46,13.37,88.62,62.32,20.66,5.83,24.9,0.425,Unsafe,Safe,Unsafe
8.57,2.87,45.85,1153.46,20.28,7.5,23.4,0.129,Unsafe,Unsafe,Unsafe
6.91,13.46,56.46,1083.87,33.98,5.1,20.9,0.204,Unsafe,Safe,Unsafe
5.97,8.27,66.3,581.12,3.35,1.05,25.5,0.249,Unsafe,Unsafe,Safe
5.6,5.59,67.91,126.76,29.69,8.58,24.1,0.267,Unsafe,Unsafe,Unsafe
8.14,2.92,93.17,1144.65,38.6,3.1,31.4,0.33,Unsafe,Unsafe,Unsafe
7.67,8.01,99.69,1435.0,41.41,9.71,22.6,0.021,Unsafe,Safe,Unsafe
7.96,11.53,72.02,398.22,8.53,1.18,28.4,0.361,Unsafe,Safe,Safe
6.25,10.49,28.72,519.11,44.87,9.58,12.5,0.031,Unsafe,Safe,Unsafe
5.98,2.6,87.98,316.53,32.81,0.91,25.3,0.234,Unsafe,Unsafe,Unsafe
5.55,2.87,4.92,886.56,44.09,2.31,32.1,0.414,Unsafe,Unsafe,Unsafe
6.73,6.83,23.11,274.52,24.26,0.47,16.6,0.226,Unsafe,Safe,Safe
7.56,5.54,89.74,566.48,27.1,7.05,28.4,0.075,Unsafe,Safe,Unsafe
6.87,4.79,25.62,1060.67,45.95,8.5,26.7,0.493,Unsafe,Safe,Unsafe
7.03,5.37,22.07,862.17,45.0,4.34,6.8,0.445,Unsafe,Safe,Unsafe
8.66,11.64,13.81,610.37,22.41,9.29,22.4,0.386,Unsafe,Safe,Unsafe
